run_id,algorithm,threads,pid,cpu_percent,memory_mb,num_threads,context_switches,uptime,timestamp,total_runtime
1,bubble,1,2512,0.0,5.63,2,4,1.09,1749021079.67,87.28
1,merge,1,2511,0.0,11.88,1,2,1.09,1749021079.67,19.27
1,merge,1,2511,90.8,19.88,1,2,1.2,1749021079.78,19.27
1,bubble,1,2512,99.3,5.63,2,4,1.2,1749021079.78,87.28
1,merge,1,2511,99.9,15.88,1,2,1.31,1749021079.89,19.27
1,bubble,1,2512,100.1,5.63,2,4,1.31,1749021079.89,87.28
1,bubble,1,2512,101.9,5.63,2,4,1.42,1749021080.0,87.28
1,merge,1,2511,109.1,19.88,1,2,1.42,1749021080.0,19.27
1,bubble,1,2512,100.3,5.63,2,4,1.53,1749021080.11,87.28
1,merge,1,2511,91.8,23.88,1,2,1.53,1749021080.11,19.27
1,bubble,1,2512,100.4,5.63,2,4,1.64,1749021080.22,87.28
1,merge,1,2511,100.6,27.88,1,2,1.64,1749021080.22,19.27
1,merge,1,2511,100.1,31.88,1,3,1.75,1749021080.33,19.27
1,bubble,1,2512,99.4,5.63,2,4,1.75,1749021080.33,87.28
1,bubble,1,2512,99.1,5.63,2,4,1.86,1749021080.44,87.28
1,merge,1,2511,107.7,35.88,1,3,1.86,1749021080.44,19.27
1,bubble,1,2512,99.8,5.63,2,4,1.97,1749021080.55,87.28
1,merge,1,2511,99.8,39.88,1,3,1.97,1749021080.55,19.27
1,merge,1,2511,100.1,43.88,1,3,2.08,1749021080.66,19.27
1,bubble,1,2512,99.6,5.63,2,4,2.08,1749021080.66,87.28
1,merge,1,2511,99.9,47.88,1,3,2.19,1749021080.77,19.27
1,bubble,1,2512,99.8,5.63,2,4,2.19,1749021080.77,87.28
1,bubble,1,2512,99.9,5.63,2,4,2.3,1749021080.88,87.28
1,merge,1,2511,99.5,51.88,1,3,2.3,1749021080.88,19.27
1,merge,1,2511,99.6,57.88,1,3,2.41,1749021080.99,19.27
1,bubble,1,2512,99.4,5.63,2,4,2.41,1749021080.99,87.28
1,bubble,1,2512,99.6,5.63,2,4,2.52,1749021081.1,87.28
1,merge,1,2511,90.1,61.88,1,3,2.52,1749021081.1,19.27
1,bubble,1,2512,99.9,5.63,2,4,2.63,1749021081.21,87.28
1,merge,1,2511,99.9,65.88,1,3,2.63,1749021081.21,19.27
1,merge,1,2511,99.7,67.89,1,4,2.74,1749021081.32,19.27
1,bubble,1,2512,99.3,5.63,2,4,2.74,1749021081.32,87.28
1,merge,1,2511,109.0,71.89,1,4,2.85,1749021081.43,19.27
1,bubble,1,2512,99.7,5.63,2,4,2.85,1749021081.43,87.28
1,merge,1,2511,91.0,75.89,1,6,2.96,1749021081.54,19.27
1,bubble,1,2512,100.0,5.63,2,4,2.96,1749021081.54,87.28
1,merge,1,2511,108.9,79.89,1,6,3.07,1749021081.65,19.27
1,bubble,1,2512,99.9,5.63,2,4,3.07,1749021081.65,87.28
1,merge,1,2511,100.1,83.89,1,7,3.18,1749021081.76,19.27
1,bubble,1,2512,100.1,5.63,2,4,3.18,1749021081.76,87.28
1,merge,1,2511,100.1,89.89,1,7,3.29,1749021081.87,19.27
1,bubble,1,2512,100.1,5.63,2,4,3.29,1749021081.87,87.28
1,merge,1,2511,99.7,93.89,1,8,3.4,1749021081.98,19.27
